geometrie_wkt,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
"MULTILINESTRING ((12.085602959014626 54.172607658736034,12.086707811319545 54.172030420075053))",3038606c-3ef5-11e5-a1c4-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Johann-S.-Bach-Str.,04050
"MULTILINESTRING ((12.08679988563137 54.177211554967585,12.087200989118793 54.177267876527296,12.087372847082506 54.177288329728896,12.087530339078663 54.177266020089569,12.088037870921443 54.177347332200007))",303ae9ea-3ef5-11e5-a307-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Querstr. III,07800
"MULTILINESTRING ((12.086672237816883 54.177670738208178,12.086869224587435 54.177684794024714,12.086992428128378 54.177697285380773,12.087616501480673 54.177804843788032,12.087764622708775 54.177830974836674))",303aebac-3ef5-11e5-a308-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Querstr. IV,07810
"MULTILINESTRING ((12.08650290110903 54.178919095678239,12.087344007795405 54.178949849383841))",303aed78-3ef5-11e5-a309-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Querstr. V,07820
"MULTILINESTRING ((12.087540410459512 54.176292476731419,12.087767810745042 54.176294198234032,12.088119358582377 54.176278845098594,12.088505899895239 54.176263465219975))",303ae81e-3ef5-11e5-a306-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Querstr. II,07790
"MULTILINESTRING ((12.082649171337975 54.1740436087969,12.081977426270001 54.174004619778948,12.081887411112003 54.174543477808108,12.082549814191816 54.174581215701608))",303494b4-3ef5-11e5-9fd5-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Am Markt,00460
"MULTILINESTRING ((12.090096846852216 54.171756915756248,12.090000357368782 54.17170666664979,12.089898930445793 54.171651209306496,12.089611320988444 54.171541345926997))",303781ba-3ef5-11e5-a156-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Güterbahnhof,03200
"MULTILINESTRING ((12.07810787415988 54.139357588618431,12.077323721216629 54.139179004226655,12.077240872979525 54.139152728479779,12.077184765547997 54.139117000239835,12.077159571103676 54.13907559098481,12.077067150050944 54.138652050652006,12.077025874504045 54.13844665734257,12.07700429853166 54.138382421319186,12.076954510468248 54.13835064275986,12.076889997037112 54.138341428424866,12.074286597319229 54.138513887270719))",303d61de-3ef5-11e5-a43d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Zur Hansemesse,12540
"MULTILINESTRING ((12.081238416878506 54.1493792888594,12.081221199544188 54.149290608913205,12.081229199239191 54.149249627471931,12.081329762761799 54.148962996834939,12.081339625873358 54.148906648107946,12.081361068895809 54.148768159740946,12.081391903765985 54.1479472700142,12.081403027166694 54.147632663452889,12.081385448060345 54.147488090972445,12.08136884708199 54.14739159280257,12.081344349789024 54.147324124672288,12.081238466226296 54.147083911148769,12.081226893711722 54.147040786266494,12.081211439487209 54.146949409301406))",303d15ee-3ef5-11e5-a417-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Willi-Döbler-Str.,09830
"MULTILINESTRING ((12.071735381269168 54.129240089168547,12.071898032375419 54.129309723482379,12.072112303577397 54.12938417909362,12.07225673385428 54.129424619328262,12.072411878547289 54.129458223579576,12.072672527321389 54.129497425141437,12.072981751780466 54.129532283405617,12.07387922599213 54.129612699628403,12.074040654596446 54.129630841996352,12.074217871152591 54.129656882094238,12.07437429291339 54.129697581970852,12.074501192572644 54.129741624746714,12.074609924887152 54.129787745434875,12.074725124352486 54.129851204994694,12.074823302427252 54.129922402991177,12.074898265207651 54.129995502419327,12.074958363559027 54.130082898804709,12.075001280384047 54.130159342945682,12.075274641593687 54.130733287934007,12.075530408839247 54.131273995089849,12.075959824322014 54.132157138485539,12.076413833146399 54.133090406481436,12.076447809961214 54.133174673564945,12.076464345274726 54.133244843704574,12.076463739063916 54.133326796391323,12.076450605700561 54.13339069518036,12.07642862184869 54.133445703450789,12.076373122336138 54.133598590505656,12.076361220175384 54.133645864405338,12.07635652388162 54.13369987322961,12.076360404671249 54.133751360531704,12.076374132202462 54.133804459063903,12.076390378022772 54.133854410896653,12.07652964454299 54.134163620424637),(12.075274641593687 54.130733287934007,12.075028621942252 54.130764443284107,12.074946483762226 54.1307718629905,12.07485285811828 54.13077713314653,12.074699667663506 54.130781451760107,12.073251229558219 54.130784049527747,12.07268624980774 54.130776125003322,12.072535173870142 54.130690759289806,12.072472268320164 54.130655482205633,12.072400182344246 54.130638272475707,12.072328016744134 54.130647751175466,12.072294741547781 54.130670505755589,12.072282692641725 54.130708164340575,12.072302811896929 54.130739513398908,12.072336162004788 54.130759711859085,12.072384889959221 54.130769746878912,12.07246591043166 54.130772393915123,12.07268624980774 54.130776125003322))",30340544-3ef5-11e5-9f8c-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Adam-J.-Krusenstern-Str.,00070
